customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
id7074,Male,0,No,No,20,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,61.0839632937,5706.3,No
id7075,Female,0,No,No,42,Yes,No,DSL,Yes,No,No,Yes,No,No internet service,Month-to-month,No,Mailed check,44.1554311907,46.35,No
id7076,Female,0,Yes,Yes,24,Yes,No,DSL,No internet service,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),64.8355462002,5791.1,No
id7077,Male,0,Yes,No,30,Yes,Yes,Fiber optic,No internet service,No,No,Yes,Yes,Yes,Two year,No,Electronic check,64.2921163881,1790.8,No
id7078,Female,0,No,No,31,Yes,Yes,Fiber optic,No,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,68.527281822,4362.05,No
id7079,Male,0,Yes,No,43,Yes,Yes,No,No,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),51.9633634927,3990.6,No
id7080,Male,1,Yes,No,34,No,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,63.3471315465,3147.5,No
id7082,Female,0,Yes,No,9,Yes,Yes,DSL,No internet service,No,No internet service,Yes,No internet service,Yes,Two year,Yes,Electronic check,60.7593016463,291.4,No
id7083,Male,0,Yes,No,31,No,No,No,No,No,No internet service,Yes,No,No,Month-to-month,Yes,Electronic check,72.252429354,378.4,No
id7084,Female,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,Yes,Credit card (automatic),91.7381165086,70.85,No
id7085,Male,0,Yes,Yes,33,No,No phone service,Fiber optic,No,No internet service,No,No,No internet service,Yes,Month-to-month,Yes,Mailed check,89.1291876274,4534.9,No
id7086,Female,1,No,Yes,28,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,42.7710823994,2309.55,No
id7087,Female,0,No,No,44,Yes,Yes,DSL,No internet service,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),61.5957823785,185.6,No
id7088,Male,0,Yes,Yes,41,Yes,No,DSL,No internet service,Yes,Yes,No,No,No internet service,One year,Yes,Mailed check,79.1751191762,2958.95,No
id7089,Male,1,Yes,No,36,No,No,Fiber optic,Yes,Yes,No,No internet service,Yes,Yes,Two year,Yes,Bank transfer (automatic),89.8692812795,4186.3,No
id7090,Female,0,No,No,27,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Electronic check,35.5843798326,2007.25,No
id7091,Male,0,Yes,No,19,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No internet service,No,Two year,Yes,Credit card (automatic),73.5434650562,2406.1,No
id7093,Female,0,Yes,Yes,39,Yes,Yes,DSL,No internet service,Yes,No,No internet service,Yes,Yes,One year,Yes,Bank transfer (automatic),54.3959966246,264.85,No
id7094,Female,0,Yes,No,45,No,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,48.8268139263,5968.4,No
id7095,Female,0,Yes,No,32,Yes,No,Fiber optic,No,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),75.7685827412,3838.75,No
id7096,Female,0,No,Yes,20,Yes,No,DSL,No,No,No,Yes,No internet service,No internet service,Two year,No,Electronic check,59.206110126,1067.15,No
id7097,Female,0,No,No,28,Yes,No,Fiber optic,No internet service,No,No internet service,No,Yes,No,Month-to-month,No,Credit card (automatic),38.5035072115,758.6,No
id7098,Male,0,Yes,No,11,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),56.0885201116,1434.6,No
id7099,Female,0,Yes,Yes,27,Yes,No,DSL,No internet service,No internet service,Yes,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),42.7074333494,151.65,No
id7100,Female,1,Yes,No,19,Yes,No,Fiber optic,No,No,No,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),67.9935002155,1266.35,No
id7102,Female,0,Yes,No,21,Yes,Yes,DSL,Yes,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,100.1161131729,624.6,No
id7103,Male,0,Yes,No,25,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,61.5706215736,249.95,No
id7104,Male,0,No,No,27,Yes,Yes,Fiber optic,No internet service,No,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,58.928214472,717.95,No
id7106,Male,0,No,No,16,Yes,No phone service,Fiber optic,No,Yes,No internet service,No internet service,Yes,No,Two year,Yes,Credit card (automatic),65.1435321304,235.8,No
id7107,Male,0,No,No,33,Yes,No,DSL,No,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),74.0260100738,181.7,No
id7108,Female,0,No,No,28,Yes,Yes,Fiber optic,No,No,No,No,No internet service,No,Two year,No,Mailed check,77.8297575786,1875.25,No
id7109,Male,0,No,Yes,37,Yes,Yes,No,No,No,No,No,No,No internet service,Month-to-month,Yes,Electronic check,81.1834436079,635.6,No
id7111,Male,0,Yes,Yes,38,Yes,Yes,No,No,Yes,Yes,No internet service,No internet service,No internet service,One year,No,Mailed check,77.3899472094,1430.05,No
id7112,Male,1,No,Yes,52,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,56.2915973244,1468.75,No
id7113,Male,0,Yes,No,65,Yes,No,No,No,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),40.0160837857,30.5,No
id7114,Female,0,No,Yes,52,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,51.390834479,530.05,No
id7115,Female,0,No,Yes,41,Yes,No,No,No internet service,No internet service,No,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),67.5008889268,1319.95,No
id7116,Female,0,Yes,No,1,Yes,No,Fiber optic,Yes,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,76.1244653245,1304.85,No
id7117,Female,0,Yes,No,39,No,No,DSL,No internet service,Yes,Yes,No internet service,No,Yes,Two year,Yes,Mailed check,72.4521870787,3824.2,No
id7118,Female,0,Yes,Yes,63,Yes,No,No,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,60.5765175604,146.3,No
id7119,Female,1,Yes,No,36,Yes,Yes,Fiber optic,No internet service,No,No,No,No,Yes,One year,Yes,Electronic check,46.7557461877,692.1,No
id7120,Female,0,Yes,No,33,Yes,Yes,DSL,No,Yes,No,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),59.679271774200004,1597.05,No
id7121,Female,0,No,Yes,39,Yes,No,Fiber optic,No,No,No,No internet service,No,No,Month-to-month,No,Mailed check,61.0963421248,914.3,No
id7122,Male,1,Yes,No,38,Yes,No,DSL,No,No internet service,No,No,No,No,One year,Yes,Credit card (automatic),59.0933328173,5913.95,No
id7123,Male,1,No,No,59,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,58.1722540378,830.8,No
id7124,Male,1,Yes,No,39,No,No,DSL,No internet service,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,44.8336945374,4748.7,No
id7125,Female,1,Yes,No,32,Yes,No,No,No,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),25.3180640139,469.85,No
id7126,Male,0,Yes,No,39,Yes,No,DSL,No internet service,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,No,Electronic check,93.8384552606,3772.65,No
id7127,Female,1,No,Yes,28,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Two year,No,Mailed check,73.1409647293,2169.4,No
id7128,Male,0,No,No,26,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),71.1232942264,1483.25,No
id7129,Female,1,Yes,No,21,Yes,No,DSL,No internet service,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),72.1304097129,415.55,No
id7130,Female,1,Yes,No,39,Yes,Yes,No,No,Yes,Yes,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),69.267573125,1534.75,No
id7131,Female,0,Yes,Yes,36,Yes,No,Fiber optic,No internet service,No internet service,No,No internet service,Yes,No,Two year,Yes,Credit card (automatic),73.3364749255,2965.75,No
id7132,Male,0,No,Yes,45,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,Yes,No,No,Two year,Yes,Bank transfer (automatic),51.0478127411,71.0,No
id7133,Female,0,No,Yes,30,Yes,No,No,Yes,No internet service,No internet service,No internet service,Yes,Yes,One year,Yes,Mailed check,50.1252509008,4667.0,No
id7134,Female,0,Yes,No,20,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,37.1787360653,70.0,No
id7135,Female,0,Yes,Yes,52,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,66.5593712239,880.2,No
id7136,Male,0,Yes,No,32,Yes,Yes,DSL,No,No,No internet service,Yes,No internet service,Yes,Two year,Yes,Mailed check,93.2387688529,3522.65,No
id7137,Female,0,Yes,No,22,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,Yes,No,One year,Yes,Credit card (automatic),56.2966518639,4576.3,No
id7138,Female,0,Yes,No,24,Yes,No,DSL,Yes,No internet service,Yes,No internet service,Yes,Yes,Two year,No,Electronic check,76.3405218059,49.8,No
id7140,Male,0,Yes,Yes,34,Yes,No,DSL,No internet service,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),89.3477536858,1112.3,No
id7141,Male,1,No,No,33,Yes,Yes,Fiber optic,No,No,Yes,No,No,No internet service,One year,Yes,Credit card (automatic),72.4364690528,2861.45,No
id7142,Male,0,No,No,53,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No internet service,No,Month-to-month,Yes,Electronic check,67.4281411936,4378.9,No
id7143,Male,0,No,Yes,36,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,No,Mailed check,29.995025689,8012.75,No
id7144,Male,0,Yes,No,48,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Electronic check,90.2419202368,1563.9,No
id7145,Male,0,No,Yes,44,Yes,Yes,DSL,No,Yes,No internet service,No internet service,No,Yes,Month-to-month,Yes,Electronic check,82.1377780304,44.4,No
id7146,Female,0,Yes,No,25,Yes,No,No,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,98.3366484604,862.4,No
id7147,Male,0,Yes,No,12,Yes,No,DSL,No,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),76.5309113676,442.2,No
id7148,Male,0,No,Yes,27,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No,Yes,No internet service,One year,Yes,Mailed check,56.1756459984,2016.45,No
id7149,Female,1,Yes,Yes,31,No,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),71.787928357,741.5,No
id7150,Male,0,No,No,22,Yes,No,DSL,No,No internet service,Yes,No,No internet service,Yes,One year,Yes,Electronic check,49.6677662368,253.9,No
id7151,Female,0,Yes,Yes,19,Yes,No,DSL,No internet service,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,78.9679638735,2386.85,No
id7152,Male,0,No,No,20,Yes,Yes,DSL,Yes,No,No,No,No,No internet service,Two year,No,Credit card (automatic),54.2597776239,6859.5,No
id7154,Female,0,No,No,36,Yes,Yes,No,No internet service,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),48.524694061,5760.65,No
id7155,Female,0,No,Yes,38,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,89.2848721323,731.3,No
id7156,Male,0,Yes,No,26,Yes,Yes,No,No internet service,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,54.4348035882,512.25,No
id7157,Female,0,Yes,Yes,46,Yes,Yes,No,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,71.2792293775,196.35,No
id7158,Male,0,Yes,No,30,Yes,No,No,No,Yes,No,No internet service,No internet service,Yes,One year,Yes,Mailed check,50.6130562305,18.9,No
id7159,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No,Yes,Month-to-month,No,Electronic check,55.5052670399,1177.05,No
id7160,Male,0,No,No,28,Yes,No,DSL,Yes,No,No,Yes,No internet service,No,Two year,No,Credit card (automatic),82.5351079884,25.0,No
id7161,Female,0,No,No,43,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,No,Yes,Month-to-month,No,Credit card (automatic),55.6490033283,962.25,No
id7163,Male,0,No,No,45,Yes,Yes,No,Yes,No,No,No internet service,No,No internet service,One year,No,Bank transfer (automatic),67.1666702811,1045.25,No
id7164,Female,0,Yes,No,27,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,No,Mailed check,53.3207516259,6766.95,No
id7165,Male,0,Yes,Yes,54,Yes,No,No,Yes,Yes,No internet service,No,Yes,No,One year,Yes,Electronic check,71.0258481706,6000.1,No
id7166,Male,0,Yes,Yes,48,Yes,No,DSL,No,Yes,No,No,Yes,No internet service,Two year,Yes,Mailed check,50.8114032404,3959.15,No
id7167,Female,1,No,No,41,Yes,Yes,DSL,No internet service,No,No internet service,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),74.719609496,249.95,No
id7168,Male,0,No,No,33,Yes,No,DSL,Yes,No,No,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),57.09910968,4619.55,No
id7169,Female,1,Yes,Yes,41,No,No,No,No,No,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),62.1001733011,533.9,No
id7170,Female,0,Yes,No,31,Yes,Yes,Fiber optic,No,No internet service,No,No,Yes,No internet service,One year,Yes,Credit card (automatic),55.6449494221,1047.7,No
id7171,Male,0,No,No,16,Yes,No,Fiber optic,No internet service,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Mailed check,57.0213405956,605.75,No
id7172,Female,0,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No internet service,No internet service,No,Two year,Yes,Bank transfer (automatic),51.7890930492,658.95,No
id7173,Female,0,No,Yes,41,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),51.3223197884,1510.5,No
id7174,Female,0,No,Yes,43,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Mailed check,44.1043750647,2780.6,No
id7175,Male,0,Yes,No,38,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),70.8135654837,86.35,No
id7176,Female,0,No,No,21,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,No,Yes,One year,Yes,Electronic check,72.9964153911,3887.85,No
id7177,Female,0,No,No,25,Yes,No,Fiber optic,No,No internet service,No internet service,No,No,Yes,Month-to-month,Yes,Credit card (automatic),65.7910353222,1341.5,No
id7178,Female,0,Yes,Yes,30,No,Yes,DSL,No,Yes,No,No internet service,Yes,Yes,Two year,No,Credit card (automatic),62.6652394319,1901.65,No
id7179,Female,1,Yes,No,42,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),86.8188823229,7548.1,No
id7180,Male,1,No,No,44,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Electronic check,68.3645629266,374.5,No
id7181,Female,1,Yes,No,26,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Mailed check,73.5002662325,314.6,No
id7182,Female,0,No,No,25,Yes,No,Fiber optic,No internet service,No,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,56.5851261368,6019.35,No
id7183,Female,0,No,No,22,Yes,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,80.2374665534,209.1,No
id7184,Female,0,No,No,40,Yes,Yes,No,No internet service,Yes,Yes,No,No,No,One year,Yes,Credit card (automatic),105.502667895,288.05,No
id7185,Female,0,No,No,18,Yes,No,Fiber optic,No,No internet service,Yes,No,No,Yes,One year,Yes,Electronic check,78.8585167965,4916.95,No
id7186,Female,0,Yes,No,33,Yes,No,No,No,No internet service,No,No,No,No internet service,Month-to-month,No,Mailed check,72.683263427,3778.85,No
id7187,Male,1,No,No,25,Yes,Yes,No,Yes,Yes,Yes,No,No,No internet service,One year,Yes,Bank transfer (automatic),82.7540184274,5034.05,No
id7188,Male,0,No,No,30,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,60.7282175174,2007.25,No
id7189,Male,0,No,Yes,37,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Mailed check,49.3860445579,1887.0,No
id7190,Male,0,No,Yes,46,Yes,No,Fiber optic,No internet service,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),79.5130354565,6239.05,No
id7191,Female,0,No,No,29,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,64.3085170646,669.45,No
id7192,Female,0,Yes,Yes,35,Yes,No,Fiber optic,No,Yes,Yes,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),71.6631616291,6292.7,No
id7193,Male,0,No,Yes,44,Yes,Yes,No,No,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),56.4300473857,364.55,No
id7194,Female,0,No,No,39,Yes,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),58.0295323199,45.05,No
id7195,Female,1,Yes,No,31,Yes,No,Fiber optic,No,Yes,Yes,No,No internet service,Yes,Two year,Yes,Mailed check,67.2477718478,1374.35,No
id7196,Female,0,Yes,No,39,Yes,Yes,No,No,No,No,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),57.8873855502,6890.0,No
id7197,Male,1,No,Yes,19,Yes,No,Fiber optic,No internet service,Yes,No,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),72.051594753,324.8,No
id7198,Female,0,No,Yes,41,Yes,No,Fiber optic,No,No,No internet service,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),89.9231861733,3532.25,No
id7199,Male,0,No,Yes,25,Yes,No phone service,No,No,No internet service,Yes,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),60.5748873296,1022.95,No
id7200,Male,0,Yes,No,32,Yes,Yes,DSL,No internet service,Yes,Yes,No,No internet service,Yes,Two year,No,Credit card (automatic),45.2914579593,7030.65,No
id7201,Male,1,Yes,No,37,Yes,Yes,Fiber optic,No internet service,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),78.9652139886,651.55,No
id7202,Female,0,Yes,No,23,No,No,Fiber optic,No internet service,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),77.0738013917,73.5,No
id7203,Male,0,No,Yes,30,No,No,Fiber optic,No,No,No,No,No,No internet service,One year,No,Bank transfer (automatic),69.4167396557,1259.35,No
id7204,Female,0,Yes,No,11,Yes,No,DSL,No internet service,No,No internet service,No,Yes,Yes,Two year,No,Bank transfer (automatic),66.8480093651,1028.9,No
id7205,Female,0,Yes,No,30,No,Yes,Fiber optic,Yes,No internet service,No,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),68.659328279,2198.3,No
id7206,Female,0,No,No,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),61.5216114512,5084.65,No
id7207,Female,0,Yes,No,26,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,No internet service,Yes,One year,Yes,Electronic check,81.4000281811,2806.9,No
id7208,Female,0,Yes,Yes,24,Yes,No,Fiber optic,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),80.0575224209,1102.4,No
id7209,Male,0,No,No,34,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,51.5786983868,6350.5,No
id7211,Female,1,Yes,No,34,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,75.4933282605,1023.9,Yes
id7212,Female,1,No,Yes,43,Yes,No,DSL,No,No,No,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),91.5561122563,4539.6,No
id7213,Male,0,No,No,31,Yes,No phone service,No,Yes,Yes,No,No,No,No internet service,Two year,Yes,Credit card (automatic),88.0069108855,1871.15,No
id7214,Male,0,Yes,No,34,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),36.8432956826,1857.3,No
id7215,Male,0,Yes,No,36,Yes,No,DSL,No,No,No internet service,No,No internet service,Yes,Month-to-month,Yes,Electronic check,52.2912527642,2545.7,No
id7216,Male,0,Yes,No,31,Yes,No,Fiber optic,No,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Electronic check,53.6539180659,958.15,No
id7217,Male,1,No,No,30,Yes,Yes,DSL,No,No,No,No,No,No,One year,No,Electronic check,48.9557942426,6283.3,No
id7218,Female,0,No,No,29,Yes,No,DSL,No,No,Yes,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),58.0331021637,184.1,No
id7219,Male,0,Yes,No,36,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),76.8324129205,1184.0,No
id7220,Female,0,No,Yes,33,No,Yes,DSL,Yes,No internet service,No,Yes,No internet service,Yes,Two year,Yes,Bank transfer (automatic),90.5205045127,1312.45,No
id7221,Male,0,No,Yes,40,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),42.381852726700004,6991.9,No
id7222,Female,1,No,Yes,33,Yes,No phone service,DSL,No internet service,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,66.3423061769,736.8,No
id7223,Male,0,No,No,31,Yes,No,No,No internet service,No,No,No,Yes,No internet service,Two year,Yes,Credit card (automatic),60.9583077724,457.1,No
id7225,Male,1,Yes,No,20,Yes,No,DSL,No,No,No,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),96.6425075823,180.3,No
id7226,Male,0,Yes,No,40,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),72.7428096939,820.5,No
id7227,Female,0,No,No,58,Yes,No,No,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,85.5616093627,344.2,No
id7228,Female,0,No,Yes,39,Yes,No,DSL,No,Yes,Yes,No internet service,No internet service,No,Two year,No,Electronic check,93.2419563501,6786.4,No
